SCRIP CODE,NAME OF COMPANY
533109,Euro Multivision Ltd
514060,Evergreen Textiles Ltd
514358,Everlon Synthetics Ltd
530571,Explicit Finance Ltd
539552,F Mec International Financial Services Ltd
532657,Facor Steels Ltd
500142,FGP Ltd
531486,Filmcity Media Ltd
517264,Fine Line Circuits Ltd
540267,Flora Corporation Ltd
530705,Flora Textiles Ltd
530213,Fortune International Ltd
532403,Fourth Generation Information Systems Ltd
539032,Fraser and Company Ltd
508980,Frontier Capital Ltd
531225,Frontier Informatics Ltd
538568,Fruition Venture Ltd
523113,Futuristic Securities Ltd
511609,ISL Consulting Ltd
524624,Gagan Gases Ltd
538609,Gajanan Securities Services Ltd
505711,Gajra Bevel Gears Ltd
538881,Galada Finance Ltd
504697,Galada Power & Telecommunication Ltd
506186,Galaxy Cloud Kitchens Ltd
504397,Ganesh Holdings Ltd
530945,Gangotri Iron & Steel Company Ltd
530615,Garg Furnace Ltd
514400,Garware Synthetics Ltd
524564,Gayatri BioOrganics Ltd
512479,Gayatri Tissue & Papers Ltd
530855,GDL Leasing & Finance Ltd
532318,Gemini Communication Ltd
540361,Danube Industries Ltd
514336,Genesis Ibrc India Ltd
531939,Genus Commu Trade Ltd
507506,Girdharilal Sugar & Allied Industries Ltd
531758,GK Consultants Ltd
531479,Global Land Masters Corporation Ltd
540266,Globe Commercials Ltd
531904,Globus Corpooration Ltd
538542,Gold Coin Health Foods Ltd
539853,Golden Capital Services Ltd
531928,Golden Carpets Ltd
504701,Gontermann Peipers India Ltd
531913,Gopal Iron & Steels Company Gujarat Ltd
509148,Govind Rubber Ltd
530663,Goyal Associates Ltd
517564,GR Cables Ltd
532139,G-Tech Info-Training Ltd
532744,GTN Textiles Ltd
506457,Gujarat Carbon & Industries Ltd
531410,Gujarat Foils Ltd
500174,Gujarat Lease Financing Ltd
524754,Gujarat Meditech Ltd
513337,Gujarat Toolroom Ltd
506640,Gujchem Distillers India Ltd
530055,Harmony Capital Service Ltd
532467,Hazoor Multi Projects Ltd
539224,HCKK Ventures Ltd
533525,HealthFore Technologies Ltd
526967,Heera Ispat Ltd
531178,Hemang Resources Ltd
524590,Hemo Organic Ltd
531301,High Street Filatex Ltd
532847,Hilton Metal Forging Ltd
513723,Himalaya Granites Ltd
511169,Himalchuli Food Products Ltd
532041,Hindustan Bio Sciences Ltd
500500,Hindustan Motors Ltd
530853,Hipolin Ltd
532359,Hit Kit Global Solutions Ltd
526683,Hotel Rugby Ltd
531724,HRB Floriculture Ltd
539724,Hypersoft Technologies Ltd
519463,IB Infotech Enterprises Ltd
531524,ICSA (India) Ltd
511682,IFL Promoters Ltd
539449,IGC Industries Ltd
531968,IITL Projects Ltd
532414,IKF Technologies Ltd
505539,IMC Finance Ltd
532614,Impex Ferro Tech Ltd
538541,Inceptum Enterprises Ltd
531594,Incon Engineers Ltd
531505,Indergiri Finance Ltd
500202,India Lease Development Ltd
504731,Indian Bright Steel Company Ltd
530747,Indo Asia Finance Ltd
538838,Indo Cotspin Ltd
526887,Indo Credit Capital Ltd
539433,Indo-Global Enterprises Ltd
539175,Indra Industries Ltd
526445,Indrayani Biotech Ltd
503639,Indsoya Ltd
531841,Indus Finance Ltd
512025,Inertia Steel Ltd
509069,Infomedia Press Ltd
530777,Infra Industries Ltd
531793,Infraquest International Ltd
537985,Infronics Systems Ltd
531963,Universal Credit & Securities Ltd
531929,Innocorp Ltd
517433,Innovation Software Exports Ltd
512375,Innoventive Venture Ltd
531314,Integra Capital Management Ltd
535958,Integra Garments And Textiles Ltd
517423,Integra Switchgear Ltd
536868,Integra Telecommunication & Software Ltd
539149,Integrated Capital Services Ltd
519606,Integrated Proteins Ltd
531889,Integrated Technologies Ltd
530921,Integrated Thermoplastics Ltd
534732,Intellivate Capital Advisors Ltd
506134,Intellivate Capital Ventures Ltd
530519,Interface Financial Services Ltd
526512,Interlink Petroleum Ltd
517044,International Data Management Ltd
523844,Invicta Meditek Ltd
523752,IO System Ltd
512405,I-Power Solutions India Ltd
540134,Ishaan Infrastructures and Shelters Ltd
506161,Ishwarshakti Holdings & Traders Ltd
531592,Generic Pharmasec Ltd
524622,iStreet Network Ltd
520139,Jagson Airlines Ltd
531339,Jaihind Projects Ltd
514312,Jaihind Synthetics Ltd
539119,Jain Marmo Industries Ltd
526523,Jay Energy & S Energies Ltd
500222,JCT Electronics Ltd
524592,JD Orgochem Ltd
511618,JIK Industries Ltd
530405,Jindal Capital Ltd
530049,JJ Exporters Ltd
506016,JRI Industries & Infrastructure Ltd
504080,JSL Industries Ltd
507987,Jupiter Industries & Leasing Ltd
531035,Justride Enterprises Ltd
504076,Jyoti Ltd
523876,Jyoti Overseas Ltd
513250,Jyoti Structures Ltd
539246,Jyotirgamya Enterprises Ltd
503669,K K Fincorp Ltd
524322,Kabra Drugs Ltd
531780,Kaiser Corporation Ltd
521054,Kakatiya Textiles Ltd
524604,Kamron Laboratories Ltd
500236,Kanel Industries Ltd
512399,Kapashi Commercial Ltd
512036,Kapil Cotex Ltd
539679,Kapil Raj Finance Ltd
526115,Karan Woo Sin Ltd
501151,Kartik Investments Trust Ltd
502933,Katare Spinning Mills Ltd
538295,Kausambi Vanijya Ltd
535136,Kavita Fabrics Ltd
526067,KCCL Plastic Ltd
533790,KGN Enterprises Ltd
504269,Khaitan Electricals Ltd
506178,Khatau Exim Ltd
531692,Khyati Multimedia Entertainment Ltd
507946,Kiduja India Ltd
523218,Kilburn Office Automation Ltd
531274,Kinetic Trust Ltd
512329,Kintech Renewables Ltd
531413,Kiran Print Pack Ltd
530443,Kiran Syntex Ltd
514221,K-Lifestyle & Industries Ltd
517170,KLK Electrical Ltd
519415,KMG Milk Food Ltd
517471,Koa Tools India Ltd
531602,Koffee Break Pictures Ltd
531366,Kohinoor Broadcasting Corporation Ltd
500458,Kore Foods Ltd
530139,Kreon Finnancial Services Ltd
503626,Kshitij Investments Ltd
523594,Kunststoffe Industries Ltd
514240,Kush Industries Ltd
535387,Lakhotia Polyesters (India) Ltd
531164,Laser Diamonds Ltd
539125,Layla Textile and Traders Ltd
508306,Ledo Tea Company Ltd
517415,Lee & Nee Softwares Exports Ltd
509046,Leena Consultancy Ltd
526125,Arihant Tournesol Ltd
533007,LGB Forge Ltd
517463,Linaks Microelectronics Ltd
530745,LN Industries India Ltd
523475,Lotus Chocolate Company Ltd
505320,Lynx Machinery & Commercials Ltd
512600,Macro International Exports Ltd
519279,Madhur Industries Ltd
513460,Mahalaxmi Seamless Ltd
526795,Mahasagar Travels Ltd
539383,Mahaveer Infoway Ltd
531648,Mahavir Industries Ltd
530243,Mangalya Soft Tech Ltd
530537,Manraj Housing Finance Ltd
538970,Manvijay Development Company Ltd
500206,Margo Finance Ltd
517467,Marsons Ltd
531319,Maruti Securities Ltd
506867,Master Chemicals Ltd
532470,Mather and Platt Fire Systems Ltd
500248,Mavi Industries Ltd
539519,Mayukh Dealtrade Ltd
524723,Bijoy Hans Ltd
531680,Mayur Leather Products Ltd
526935,MB Parikh Finstocks Ltd
539938,Medico Intercontinental Ltd
512505,Meenakshi Steel Industries Ltd
511276,Mefcom Agro Industries Ltd
532105,Mega Fin India Ltd
511367,Meglon Infra-Real (India) Ltd
511740,Mehta Housing Finance Ltd
511738,Mehta Securities Ltd
532307,Melstar Information Technologies Ltd
531127,Mena Mani Industries Ltd
531357,Mercury Metals Ltd
512415,Mercury Trade Links Ltd
500274,Mesco Pharmaceuticals Ltd
532990,Metkore Alloys & Industries Ltd
513496,Mewat Zinc Ltd
526622,MFL India Ltd
513721,MFS Intercorp Ltd
523343,Microse India Ltd
526251,Mid East Portfolio Management Ltd
500277,Mid India Industries Ltd
526570,Midwest Gold Ltd
511018,Milgrey Finance & Investments Ltd
511187,Millennium Online Solutions ( India ) Ltd
523373,Mini Diamonds India Ltd
505797,Mipco Seamless Rings Gujarat Ltd
505336,Mirch Technologies (India) Ltd
532127,Mobile Tele Communications Ltd
519287,Modern Dairies Ltd
513303,Modern Steels Ltd
503776,Modipon Ltd
532078,Monnet Industries Ltd
505343,Monotype India Ltd
539199,Moongipa Securities Ltd
526237,Morgan Ventures Ltd
507522,Mount Shivalik Industries Ltd
506543,MP Agro Industries Ltd
500450,MPIL Corporation Ltd
526143,Mpl Plastics Ltd
512065,Mrugesh Trading Ltd
538743,Mudunuru Ltd
523832,Mukat Pipes Ltd
504356,Multipurpose Trading & Agencies Ltd
511200,Munoth Capital Markets Ltd
511401,Munoth Communication Ltd
531821,Munoth Financial Services Ltd
538862,My Money Securities Ltd
534184,Nagarjuna Oil Refinery Ltd
538395,Nam Securities Ltd
540204,Narendra Investments (Delhi) Ltd
531834,Natura Hue Chem Ltd
523242,NB Footwear Ltd
531452,NCC Finance Ltd
531049,Neelkanth Rockminerals Ltd
537838,Negotium International Trade Ltd
514332,Neo Infracon Ltd
526195,Neogem India Ltd
509040,Netlink Solutions India Ltd
523558,Network Ltd
532887,Neueon Towers Ltd
508867,New Markets Advisory Ltd
501479,Springform Technology Ltd
538874,Nexus Commodities And Technologies Ltd
590028,Nicco Corporation Ltd
523209,Nicco Uco Alliance Credit Ltd
512103,Nidhi Granites Ltd
531598,Nimbus Foods Industries Ltd
539311,Nishtha Finance and Investment (India) Ltd
532854,Nitin Fire Protection Industries Ltd
512245,Nivi Trading Ltd
539200,Noble Polymers Ltd
530435,Noesis Industries Ltd
524414,Norris Medicines Ltd
539110,Northlink Fiscal and Capital Services Ltd
531465,Nouveau Global Ventures Ltd
530733,Nova Publications India Ltd
531791,NovaGold Petro Resources Ltd
530219,Nutricircle Ltd
531819,Nuway Organic Naturals India Ltd
538547,Oasis Tradelink Ltd
538894,Octal Credit Capital Ltd
538537,Omansh Enterprises Ltd
519479,Omega Ag-Seeds Punjab Ltd
531496,Omkar Overseas Ltd
532167,Omkar Pharmachem Ltd
514324,Omnitex Industries India Ltd
530805,Onesource Ideas Venture Ltd
540386,Ontic Finserve Ltd
539598,Oracle Credit Ltd
531157,Organic Coatings Ltd
531626,Orosil Smiths India Ltd
501179,Oscar Investments Ltd
504256,Deltron Ltd
531065,Oswal Overseas Ltd
514460,Oswal Yarns Ltd
523151,OTCO International Ltd
514414,Oxford Industries Ltd
539291,Ozone World Ltd
538963,Pact Industries Ltd
531395,Padam Cotton Yarns Ltd
539121,Palco Metals Ltd
511597,Palsoft Infosystems Ltd
517397,Pan Electronics India Ltd
538860,Panafic Industrials Ltd
531280,Pankaj Polymers Ltd
500322,Panyam Cements & Mineral Industries Ltd
530291,Paos Industries Ltd
533211,Parabolic Drugs Ltd
521246,Paras Petrofils Ltd
539481,Pariksha Fin- Invest- Lease Ltd
524628,Parker Agrochem Exports Ltd
